business_name,website,city,country,email,phone,instagram,linkedin_company_url,linkedin_person_url,linkedin_source,decision_maker_name,decision_maker_title,decision_maker_email,decision_maker_phone,decision_source_url,decision_source_type,decision_confidence,score,notes,google_maps_url,quality_recommendation,quality_grade,market_role,quality_reason
Newcastle International School,https://newinternationalschool.co.uk/,Newcastle upon Tyne,GB,%20Info@newcastleschooluk.com; Info@newcastleschooluk.com,+44 191 236 3445,http://instagram.com/newcastlelanguageschool,,,,,,,,,,,14,category: English language school; Language school; Summer camp organizer | rating: 4.9 | reviews: 125 | source: uk_google_maps,https://www.google.com/maps/search/?api=1&query=Newcastle%20International%20School&query_place_id=ChIJfbA9i-JP9ikRKeU6vj7Pceo,Keep,B,UK host/education provider,"UK language school/summer camp angle. Useful as host/partner, not a source-market agency."
Oxford International Study Centre,http://www.oxintstudycentre.com/,Oxford,GB,info@oxintstudycentre.com,+44 1865 201009,https://www.instagram.com/oisc.oxford,,,,Benjamin Llewelyn,Principal / Proprietor,,+44 1865 201009,https://www.oxintstudycentre.com/about-us,Official website,High,14,category: International school; English language school; Sixth form college | rating: 4.3 | reviews: 41 | source: uk_google_maps,https://www.google.com/maps/search/?api=1&query=Oxford%20International%20Study%20Centre&query_place_id=ChIJBdBq76_GdkgRM-aiRAMQbxA,Keep,A,UK host/education provider,International school/language/sixth-form profile fits UK camp partnership.
Voyager School Travel,http://www.voyagerschooltravel.com/,Brighton,GB,schools@voyagerschooltravel.com,+44 1273 827327,https://www.instagram.com/voyagerschooltravel,https://uk.linkedin.com/company/voyager-school-travel; https://www.linkedin.com/company/voyager-school-travel,,Apify contact scraping,Tricia Bryant,Sales & Operations Director,schools@voyagerschooltravel.com,+44 1273 827327,https://www.voyagerschooltravel.com/about-us/meet-the-team/,Official website,High,14,category: Travel agency; Language school; Tour operator | rating: 4.6 | reviews: 58 | source: uk_google_maps,https://www.google.com/maps/search/?api=1&query=Voyager%20School%20Travel&query_place_id=ChIJmZZ9P1OFdUgRjVaZAneqgTQ,Keep,A,UK educational travel operator,Educational travel operator. Useful for UK camp partnerships and UK-to-China source market.
Stonehenge Turizm Yurt Dışı Eğitim ve Danışmanlık,http://stonehenge.com.tr/,Selçuklu,TR,info@stonehenge.com.tr,+90 332 342 12 46,https://www.instagram.com/stonehengegitim,https://www.linkedin.com/company/stonehenge,,Apify contact scraping,,,,,,,,14,category: Educational consultant; English language camp; Language school; Sightseeing tour agency; Visa consulting service | rating: 5 | reviews: 9 | source: turkey_google_maps,https://www.google.com/maps/search/?api=1&query=Stonehenge%20Turizm%20Yurt%20D%C4%B1%C5%9F%C4%B1%20E%C4%9Fitim%20ve%20Dan%C4%B1%C5%9Fmanl%C4%B1k&query_place_id=ChIJAQC8YHiP0BQRJ0R37jMeIsQ,Keep,A,Turkey outbound education agency,Yurt disi egitim means overseas education. Useful Turkey source-market referrer.
Britannia English Academy,http://www.britannia-school.com/,Manchester,GB,admissions@britannia-school.com,+44 7704 042005,https://www.instagram.com/bea_manchester,https://www.linkedin.com/company/bea-manchester,,Apify contact scraping,David Madrid Lluesma; Sergio Valls Orenga,Directors,,+44 7704 042005,https://find-and-update.company-information.service.gov.uk/company/08146137/officers,Companies House,High,12,category: English language school; English language camp | rating: 4.8 | reviews: 486 | source: uk_google_maps,https://www.google.com/maps/search/?api=1&query=Britannia%20English%20Academy&query_place_id=ChIJja3iasCxe0gRZAYZAiVQ7y4,Keep,A,UK language school,English language camp/school with high review volume. Strong UK camp ecosystem partner.
Summer School of English for Foreign Children,http://www.summerschoolofenglish.co.uk/,London,GB,info@summerschoolofenglish.co.uk,+44 20 7622 2485,https://www.instagram.com/summerschoolofenglish,,,,,,,,,,,12,category: English language school | rating: 4.9 | reviews: 24 | source: uk_google_maps,https://www.google.com/maps/search/?api=1&query=Summer%20School%20of%20English%20for%20Foreign%20Children&query_place_id=ChIJ9VUIV8kIdkgRkz2sxbboqZc,Keep,A,UK language summer school,Directly aligned with international children learning English in UK.
European Study Tours,http://www.euro-study-tours.co.uk/,Blackpool,GB,estsales@euro-study-tours.co.uk,+44 330 838 4120,https://www.instagram.com/eurostudytours,,,,Andrew James Mark Lewis Bracey; Peter John Churchus; Andrew James Clark; Aiden Charles Barwick Clegg; Neil Allen Currie; Nicole Sarah Graff; Anthony Gerald Jones; Anthony Graham Sadler,Current company directors,,,https://www.companiesintheuk.co.uk/ltd/european-study-tours,Company registry mirror,Medium,12,category: Tour operator; Tour agency | rating: 3 | reviews: 8 | source: uk_google_maps,https://www.google.com/maps/search/?api=1&query=European%20Study%20Tours&query_place_id=ChIJ23xmz5MmdkgRhy7_Nlu2Vfs,Keep,B,UK educational travel operator,"School tour operator. Good for UK/British source-market trips, but check direction of travel."
International Summer Camp UK Ltd,https://www.internationalsummercampuk.com/,Bridge of Weir,GB,hiran@internationalsummercampuk.com; donna@internationalsummercampuk.com,+44 333 344 0077,https://www.instagram.com/camp_cooper_scotland,,,,Hiran Silva; Donna Silva,Directors,,+44 330 043 4634,https://find-and-update.company-information.service.gov.uk/company/SC401612,Companies House,High,12,category: Summer camp organizer | rating: 5 | reviews: 10 | source: uk_google_maps,https://www.google.com/maps/search/?api=1&query=International%20Summer%20Camp%20UK%20Ltd&query_place_id=ChIJafcTbQmziUgRe7w_ehF3uSM,Keep,A,UK summer camp operator,"Very aligned, though possibly competitor. Good partnership/benchmark lead."
International House Manchester,http://www.ihmanchester.com/,Manchester,GB,,+44 7483 365723,https://www.instagram.com/ihmanchester,,,,John O'Leary; Peter Hayes; Katie Hayes,"Director, School Principal; Director, Marketing; Director, School Registrar",,+44 7483 365723,https://ihmanchester.com/about-us/,Official website,High,11,category: English language school; English language camp; Language school | rating: 4.9 | reviews: 484 | source: uk_google_maps,https://www.google.com/maps/search/?api=1&query=International%20House%20Manchester&query_place_id=ChIJqaILU8Cxe0gRi1po3aUqL7k,Keep,A,UK language school,Strong language school/English camp fit.
"St Clare's, Oxford",https://www.stclares.ac.uk/?utm_source=Google%20Business&utm_medium=Website%20button,Oxford,GB,Principal@stclares.ac.uk; reception139@stclares.ac.uk; safeguarding@stclares.ac.uk; admissions@stclares.ac.uk; ic.enquiries@stclares.ac.uk; summer.admissions@stclares.ac.uk; ib.workshop@stclares.ac.uk; celta@stclares.ac.uk; delta@stclares.ac.uk; alumni.relations@stclares.ac.uk; recruitment@stclares.ac.uk,+44 1865 517357,https://www.instagram.com/stclaresoxford,,,,Duncan Reith,Headteacher / Principal,,01865 552031,https://www.get-information-schools.service.gov.uk/Establishments/Establishment/Details/133430,GOV.UK Get Information about Schools,High,11,category: International school; Adult education school; English language school; Language school; Middle school; School; Sixth form college | source: uk_google_maps,https://www.google.com/maps/search/?api=1&query=St%20Clare's%2C%20Oxford&query_place_id=ChIJp6Lj6RDEdkgR7tRUIKxvVds,Keep,B,UK international school/language provider,"International school/language provider. Useful partner, probably institutional rather than agency."
