business_name,website,city,country,email,phone,instagram,linkedin_company_url,linkedin_person_url,linkedin_source,decision_maker_name,decision_maker_title,decision_maker_email,decision_maker_phone,decision_source_url,decision_source_type,decision_confidence,score,notes,google_maps_url,quality_recommendation,quality_grade,market_role,quality_reason,lat,lon
Sprachreisen für Schüler nach Bournemouth,https://www.travelworks.de/sprachreisen/schueler/england/bournemouth.html,,DE,info@travelworks.de; kfroechling@travelworks.de; beschwerde@versicherungsombudsmann.de; kontakt@mlbf-barrierefrei.de,01.01.2026; 01.10.2021; 02.04.2025; 0251-98209; 03.03.2023; 09.08.2026; 16.08.2026; 19.02.2026; 251-98209; 30.06.2026; 31.12.2026; 31.12.2027; 32 48155; 0800 3696000; 0800 3699000; 176250249; (0211) 8553451; +49 391 567 6970; 25 40219; 28.01.2026,https://instagram.com/travelworks.official; instagram.com/travelworks.highschool; instagram.com/travelworks.official; https://www.instagram.com/travelworks.official,https://de.linkedin.com/company/travelplus-group,,Apify contact scraping,,,,,,,,20,"google_search_title: Sprachreisen für Schüler nach Bournemouth | description: Sprachreisen für Erwachsene 16-99 J. Au Pair · Erlebnisreisen · Schüleraustausch · Sprachferien für Schüler 8-17 J. Summer School. Quicklinks. Veranstaltungen ... | query: ""Sprachreisen"" Schüler England Anbieter || ""Schüleraustausch"" England Agentur || ""Jugendreisen"" Sprachreise England | rank: 10",,Keep,A,Outbound youth education / study travel source-market lead,"Search result matched targeted source-market terms: sprachreisen, schüleraustausch.",51.1657,10.4515
Séjour Linguistique en famille pour Ados et Jeunes,https://www.englishforsuccess.fr/page/sejour-adolescent,,FR,info@englishforsuccess.fr,06 68 47 23; 1777212822; 1777212643; 1777212728; 1769470481; 1769470478; 1769470487; 1769470475; 1769470491; 1769470529; 1769470515; 1715716787; 1720700697; 1776419207; 1776187853; 1772531790; 1738161804; 1776099087; 1775824397; 7720611132; 210-426428; 1775128524; 91637141; 1776187828; 1775760945; 1776090151; 1765896087; 1776185063; 1775677399; 1771315290; 6676-4418; 1775941748; 1765887687; 1775761029; 1765886912; 1770683722; 1765892617; 1765895518; 1775134821; 1776158817; 1770296119; 1774625842; 1774627417; 1717747441,https://www.instagram.com/english.forsuccess,,https://www.linkedin.com/in/fiona-durand-73a0699,Apify contact scraping,,,,,,,,20,"google_search_title: Séjour Linguistique en famille pour Ados et Jeunes | description: Nos séjours linguistiques en anglais ne sont pas réservés qu'aux plus jeunes. Chez English For Success, les adultes et professionnels vivent une immersion ... | query: ""séjours linguistiques"" angleterre jeunes organisme || ""voyages scolaires"" angleterre agence || ""colonie"" anglais étranger adolescents | rank: 9",,Keep,A,Outbound youth education / study travel source-market lead,"Search result matched targeted source-market terms: séjours linguistiques, séjour linguistique.",46.2276,2.2137
Séjour linguistique Ado Lycéen 15-18 ans,https://www.nacel.fr/sejour-linguistique/sejour-jeunes,,FR,nacel@nacel.fr,+33565765525,https://www.instagram.com/nacelfrance,https://www.linkedin.com/company/nacel,,Apify contact scraping,,,,,,,,20,"google_search_title: Séjour linguistique Ado Lycéen 15-18 ans | description: Séjours linguistiques pour lycéens avec Nacel (15-18 ans): séjours encadrés ou individuels, plus de 20 destinations, cours de langue pour ados, ... | query: ""séjours linguistiques"" angleterre jeunes organisme || ""voyages scolaires"" angleterre agence || ""colonie"" anglais étranger adolescents | rank: 3",,Keep,A,Outbound youth education / study travel source-market lead,"Search result matched targeted source-market terms: séjours linguistiques, séjour linguistique.",46.2276,2.2137
Student Ways – For International Education,https://student-ways.com,,PK,info@student-ways.com,+923018275939; +02135886653,https://www.instagram.com/student_ways; https://www.instagram.com/luqmanthekhan,https://www.linkedin.com/company/studentways,https://www.linkedin.com/in/luqmanthekhan,Apify contact scraping,,,,,,,,20,"google_search_title: Student Ways – For International Education | description: study in uk - study abroad consultant in karachi. United Kingdom. ezgif. USA ... For many students in Pakistan, the dream of studying abroad often feels ...Read more | query: ""UK study abroad consultant"" Pakistan students || ""educational travel agency"" Pakistan students || ""summer camp abroad"" Pakistan students | rank: 4",,Keep,A,Outbound youth education / study travel source-market lead,"Search result matched targeted source-market terms: study abroad, international education.",30.3753,69.3451
Study Abroad Consultants in Rahim Yar Khan,https://paragoneducation.pk/study-abroad-consultants-rahim-yar-khan,,PK,info@paragoneducation.com,+923108133871,https://www.instagram.com/paragoneducation.pk,https://www.linkedin.com/company/paragon-overseas-education,,Apify contact scraping,,,,,,,,20,"google_search_title: Study Abroad Consultants in Rahim Yar Khan | description: Whether you seek for USA study abroad consultant, or a UK study abroad consultant, Paragon Overseas Education knows how to take the lead. Give Paragon ...Read more | query: ""UK study abroad consultant"" Pakistan students || ""educational travel agency"" Pakistan students || ""summer camp abroad"" Pakistan students | rank: 7",,Keep,A,Outbound youth education / study travel source-market lead,"Search result matched targeted source-market terms: study abroad, overseas education.",30.3753,69.3451
Singapore Educational Tour & School Trips Operator,https://ipcgroup.com.sg/school-2,,SG,enquiry@ipcgroup.com.sg,+6563385772; +6591474907,https://www.instagram.com/ipcgroup.1,https://www.linkedin.com/company/ipc-group-singapore,,Apify contact scraping,,,,,,,,20,"google_search_title: Singapore Educational Tour & School Trips Operator | description: Educational Tour & School Trip Operator. Learning Experience. *Elevate Your ... Licensed Overseas Educational Trips. As experts in international ...Read more | query: ""student educational tour"" Singapore UK || ""UK study tour"" Singapore students || ""school trip operator"" Singapore overseas | rank: 1",,Keep,A,Outbound youth education / study travel source-market lead,"Search result matched targeted source-market terms: school trip, overseas education.",1.3521,103.8198
Séjour Linguistique Ado,https://www.clc.fr/sejour-linguistique/profils/lyceens,,FR,clc@clc.fr; sejours@clc.fr; etudiants@clc.fr; cnil@clc.fr; x.obert@goandlive.com,+33565775021; +33565775022,https://www.instagram.com/clc_sejour_linguistique,,,,,,,,,,,19,"google_search_title: Séjour Linguistique Ado - Cours de langues pour Lycéen - CLC | description: CLC, Club Langues et Civilisations : séjours linguistiques angleterre & europe ... Les séjours linguistiques individuels pour les jeunes à partir de 16 ans. | query: ""séjours linguistiques"" angleterre jeunes organisme || ""voyages scolaires"" angleterre agence || ""colonie"" anglais étranger adolescents | rank: 7",,Keep,A,Outbound youth education / study travel source-market lead,"Search result matched targeted source-market terms: séjours linguistiques, séjour linguistique.",46.2276,2.2137
イギリスサマースクール: ホーム,https://robin-guardian.com,,JP,info@robinedu.com; csi@nifty.com; flexitravelstudy@gmail.com,092-844-4572,https://www.instagram.com/robineducationltd,,,,,,,,,,,19,"google_search_title: イギリスサマースクール: ホーム | description: 夏休みの小学生中学生高校生短期留学を現地時人が完全サポート イギリスサマー ... イギリス留学を現地にて しっかりサポート 致します。 イギリスでのサマー ... | query: ""イギリス留学"" エージェント 中学生 || ""短期留学"" イギリス 高校生 || ""海外サマーキャンプ"" 英語 | rank: 10",,Keep,A,Outbound youth education / study travel source-market lead,"Search result matched targeted source-market terms: 留学, 短期留学.",36.2048,138.2529
イギリス・アイルランドの短期留学コース,https://www.ryugaku.co.jp/short/course/gbir,,JP,rj-futai@ryugaku.co.jp; rj-pr@ryugaku.co.jp; rj-webmaster@ryugaku.co.jp; rj-online@ryugaku.co.jp; rj-careerbiz@ryugaku.co.jp,0120890987; 0120-890-987; 0353124421; 0522498894; 0647977821; 0927178821,https://www.instagram.com/ryugakujournal,,,,,,,,,,,19,"google_search_title: イギリス・アイルランドの短期留学コース - 留学ジャーナル | description: イギリス、アイルランドの短期留学コース一覧です。ロンドン、ダブリンなど、人気のエリアにある評判の良い語学学校とコース内容をご紹介。50年以上かけて培った海外 ... | query: ""イギリス留学"" エージェント 中学生 || ""短期留学"" イギリス 高校生 || ""海外サマーキャンプ"" 英語 | rank: 2",,Keep,A,Outbound youth education / study travel source-market lead,"Search result matched targeted source-market terms: 留学, 短期留学.",36.2048,138.2529
イギリス留学,https://www.lets.ecc.jp/country/uk,,JP,ryugaku@ecc.co.jp,03-5338-9144; 052-561-0146; 06-6131-1446; 543-1234,https://www.instagram.com/eccgoabroad,,,,,,,,,,,19,"google_search_title: イギリス留学 | 海外留学・ホームステイするなら【ECC海外 ... | description: 海外留学・ホームステイするならECC。 1週間の短期留学から1年を超える長期留学まで好評受付中！ 説明会・セミナーはこちら 資料閲覧はこちら 留学相談 ... | query: ""イギリス留学"" エージェント 中学生 || ""短期留学"" イギリス 高校生 || ""海外サマーキャンプ"" 英語 | rank: 6",,Keep,A,Outbound youth education / study travel source-market lead,"Search result matched targeted source-market terms: 留学, 短期留学.",36.2048,138.2529
